"Time of Day","Process Name","PID","Operation","Path","Result","Detail","TID"
"10:02:08.7088436","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\imm32.dll","SUCCESS","CreationTime: 04/12/2023 03:41:50, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:50, ChangeTime: 06/02/2025 13:36:08, AllocationSize: 188,416, EndOfFile: 186,640, FileAttributes: A","8260"
"10:02:08.7112415","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\GOGLoader.exe","SUCCESS","CreationTime: 17/06/2025 21:19:45, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 17/06/2025 21:19:53, ChangeTime: 20/06/2025 12:14:35, AllocationSize: 12,898,304, EndOfFile: 12,897,884, FileAttributes: A","8260"
"10:02:08.7115150","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\GOGLoader.runtimeconfig.dev.json","NAME NOT FOUND","","8260"
"10:02:08.7120142","GOGLoader.exe","7212","QueryOpen","C:\Program Files (x86)","SUCCESS","CreationTime: 07/12/2019 10:14:52, LastAccessTime: 26/06/2025 10:01:32, LastWriteTime: 26/06/2025 09:01:33, ChangeTime: 26/06/2025 09:01:33, AllocationSize: 8,192, EndOfFile: 8,192, FileAttributes: RD","8260"
"10:02:08.7121792","GOGLoader.exe","7212","QueryOpen","C:\Program Files","SUCCESS","CreationTime: 07/12/2019 10:14:52, LastAccessTime: 26/06/2025 10:01:04, LastWriteTime: 25/06/2025 22:06:38, ChangeTime: 25/06/2025 22:06:38, AllocationSize: 12,288, EndOfFile: 12,288, FileAttributes: RD","8260"
"10:02:08.7126562","GOGLoader.exe","7212","QueryOpen","C:\Program Files (x86)\coreservicing","NAME NOT FOUND","","8260"
"10:02:08.7127968","GOGLoader.exe","7212","QueryOpen","C:\Program Files\dotnet\store\x64\net6.0","PATH NOT FOUND","","8260"
"10:02:08.7130409","GOGLoader.exe","7212","QueryOpen","C:\Program Files (x86)\coreservicing","NAME NOT FOUND","","8260"
"10:02:08.7130866","GOGLoader.exe","7212","QueryOpen","C:\Program Files (x86)\coreservicing","NAME NOT FOUND","","8260"
"10:02:08.7147320","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\en-GB\mscorrc.dll","PATH NOT FOUND","","8260"
"10:02:08.7147845","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\en-GB\mscorrc.dll.DLL","PATH NOT FOUND","","8260"
"10:02:08.7148145","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\en\mscorrc.dll","PATH NOT FOUND","","8260"
"10:02:08.7148354","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\en\mscorrc.dll.DLL","PATH NOT FOUND","","8260"
"10:02:08.7148828","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\mscorrc.dll","NAME NOT FOUND","","8260"
"10:02:08.7149205","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\mscorrc.dll.DLL","NAME NOT FOUND","","8260"
"10:02:08.7290040","GOGLoader.exe","7212","QueryOpen","C:\ProgramData","SUCCESS","CreationTime: 07/12/2019 10:14:52, LastAccessTime: 26/06/2025 10:01:18, LastWriteTime: 25/06/2025 13:31:26, ChangeTime: 25/06/2025 13:31:26, AllocationSize: 8,192, EndOfFile: 8,192, FileAttributes: HDNCI","8260"
"10:02:08.7299324","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\rpcss.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 13:33:37, AllocationSize: 1,323,008, EndOfFile: 1,322,496, FileAttributes: A","8260"
